"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Ldhb8"	0	0.5030553	0.986	0.704	0	"Rostral neurectoderm"	"Ldhb"
"Stmn25"	0	0.502016	0.787	0.331	0	"Rostral neurectoderm"	"Stmn2"
"Psip17"	0	0.490696	1	0.952	0	"Rostral neurectoderm"	"Psip1"
"Fabp55"	0	0.4886907	0.995	0.868	0	"Rostral neurectoderm"	"Fabp5"
"Sms6"	0	0.4851604	0.978	0.793	0	"Rostral neurectoderm"	"Sms"
"Snrpn5"	0	0.4453282	0.976	0.796	0	"Rostral neurectoderm"	"Snrpn"
"Pou5f18"	0	0.4394796	0.97	0.528	0	"Rostral neurectoderm"	"Pou5f1"
"Eras2"	0	0.425347	0.684	0.232	0	"Rostral neurectoderm"	"Eras"
"Epcam5"	0	0.4163233	0.922	0.577	0	"Rostral neurectoderm"	"Epcam"
"Cd24a10"	0	0.388623	0.998	0.841	0	"Rostral neurectoderm"	"Cd24a"
"Sox22"	0	0.3849414	0.64	0.247	0	"Rostral neurectoderm"	"Sox2"
"Sfrp16"	0	0.3813953	0.646	0.251	0	"Rostral neurectoderm"	"Sfrp1"
"Tubb32"	0	0.3810901	0.629	0.224	0	"Rostral neurectoderm"	"Tubb3"
"Tuba1a9"	0	0.3646137	0.999	0.847	0	"Rostral neurectoderm"	"Tuba1a"
"Set5"	0	0.3624613	1	1	0	"Rostral neurectoderm"	"Set"
"Fam60a2"	0	0.3572109	0.899	0.683	0	"Rostral neurectoderm"	"Fam60a"
"Shisa24"	0	0.3536966	0.41	0.142	0	"Rostral neurectoderm"	"Shisa2"
"Irx53"	0	0.3520689	0.507	0.128	0	"Rostral neurectoderm"	"Irx5"
"Crabp26"	0	0.3472131	0.87	0.403	0	"Rostral neurectoderm"	"Crabp2"
"Slc7a32"	0	0.3468857	0.673	0.235	0	"Rostral neurectoderm"	"Slc7a3"
"Cbx12"	0	0.3423095	0.997	0.961	0	"Rostral neurectoderm"	"Cbx1"
"Fgfr11"	0	0.3304703	0.716	0.399	0	"Rostral neurectoderm"	"Fgfr1"
"Akr1b35"	0	0.3304641	0.991	0.922	0	"Rostral neurectoderm"	"Akr1b3"
"Igfbp28"	0	0.3274495	0.966	0.622	0	"Rostral neurectoderm"	"Igfbp2"
"Larp73"	0	0.3264652	0.938	0.828	0	"Rostral neurectoderm"	"Larp7"
"Slc2a16"	0	0.3260179	0.982	0.866	0	"Rostral neurectoderm"	"Slc2a1"
"Ifitm28"	0	0.3132052	0.993	0.848	0	"Rostral neurectoderm"	"Ifitm2"
"Cxcl121"	0	0.3097169	0.512	0.142	0	"Rostral neurectoderm"	"Cxcl12"
"Gsta45"	0	0.3080861	0.88	0.63	0	"Rostral neurectoderm"	"Gsta4"
"Gnai23"	0	0.3021778	0.975	0.881	0	"Rostral neurectoderm"	"Gnai2"
"Otx23"	0	0.296824	0.531	0.218	0	"Rostral neurectoderm"	"Otx2"
"Anp32a2"	0	0.2944318	0.999	0.948	0	"Rostral neurectoderm"	"Anp32a"
"Pclaf10"	0	0.2929989	1	0.931	0	"Rostral neurectoderm"	"Pclaf"
"Zic32"	0	0.2911731	0.498	0.167	0	"Rostral neurectoderm"	"Zic3"
"Ly6e1"	0	0.2900763	0.739	0.437	0	"Rostral neurectoderm"	"Ly6e"
"Tgif17"	0	0.2849962	0.863	0.612	0	"Rostral neurectoderm"	"Tgif1"
"Hells1"	0	0.2815212	0.929	0.801	0	"Rostral neurectoderm"	"Hells"
"Sap304"	0	0.2776678	0.92	0.728	0	"Rostral neurectoderm"	"Sap30"
"Sall44"	0	0.2712339	0.841	0.607	0	"Rostral neurectoderm"	"Sall4"
"Ddit46"	0	0.2696676	0.5	0.205	0	"Rostral neurectoderm"	"Ddit4"
"Cdca75"	0	0.2686094	0.897	0.717	0	"Rostral neurectoderm"	"Cdca7"
"Map1b5"	0	0.265937	0.685	0.348	0	"Rostral neurectoderm"	"Map1b"
"Rcc2"	0	0.2627082	0.85	0.655	0	"Rostral neurectoderm"	"Rcc2"
"Sox114"	0	0.2620895	0.775	0.486	0	"Rostral neurectoderm"	"Sox11"
"Aes2"	0	0.2600163	0.646	0.349	0	"Rostral neurectoderm"	"Aes"
"Jam34"	0	0.2593062	0.759	0.499	0	"Rostral neurectoderm"	"Jam3"
"Nmral12"	0	0.2582308	0.78	0.573	0	"Rostral neurectoderm"	"Nmral1"
"Prps13"	0	0.2555993	0.922	0.735	0	"Rostral neurectoderm"	"Prps1"
"Gja16"	0	0.2544352	0.852	0.6	0	"Rostral neurectoderm"	"Gja1"
"Six31"	0	0.2532562	0.228	0.032	0	"Rostral neurectoderm"	"Six3"
"Acer22"	0	0.2531699	0.808	0.551	0	"Rostral neurectoderm"	"Acer2"
"Lpar41"	0	0.2523029	0.552	0.243	0	"Rostral neurectoderm"	"Lpar4"
"Ifitm110"	0	1.716723	1	0.592	0	"Somitic mesoderm"	"Ifitm1"
"Rspo38"	0	1.406983	0.948	0.258	0	"Somitic mesoderm"	"Rspo3"
"Aldh1a23"	0	1.348627	0.658	0.098	0	"Somitic mesoderm"	"Aldh1a2"
"Hoxaas35"	0	1.313558	0.675	0.14	0	"Somitic mesoderm"	"Hoxaas3"
"Dll35"	0	1.200761	0.919	0.164	0	"Somitic mesoderm"	"Dll3"
"Rbp17"	0	1.150221	0.997	0.649	0	"Somitic mesoderm"	"Rbp1"
"Cited13"	0	1.148562	0.987	0.485	0	"Somitic mesoderm"	"Cited1"
"Hes75"	0	1.136107	0.79	0.095	0	"Somitic mesoderm"	"Hes7"
"Hoxb16"	0	1.073495	0.928	0.196	0	"Somitic mesoderm"	"Hoxb1"
"Lef15"	0	1.054296	0.951	0.365	0	"Somitic mesoderm"	"Lef1"
"Cdx15"	0	1.038072	0.831	0.195	0	"Somitic mesoderm"	"Cdx1"
"Arg15"	0	1.034745	0.715	0.105	0	"Somitic mesoderm"	"Arg1"
"Meox12"	0	1.0066	0.471	0.073	0	"Somitic mesoderm"	"Meox1"
"Tbx62"	0	0.9796981	0.83	0.073	0	"Somitic mesoderm"	"Tbx6"
"Hoxb5os4"	0	0.9366464	0.519	0.085	0	"Somitic mesoderm"	"Hoxb5os"
"Smc62"	0	0.8470768	0.971	0.856	0	"Somitic mesoderm"	"Smc6"
"Crabp16"	0	0.8422458	0.958	0.41	0	"Somitic mesoderm"	"Crabp1"
"Pdlim47"	0	0.8418417	0.799	0.292	0	"Somitic mesoderm"	"Pdlim4"
"Laptm4b9"	0	0.832826	0.967	0.573	0	"Somitic mesoderm"	"Laptm4b"
"Dll12"	0	0.8263413	0.757	0.063	0	"Somitic mesoderm"	"Dll1"
"Gpc39"	0	0.7678308	0.98	0.616	0	"Somitic mesoderm"	"Gpc3"
"Pcdh191"	0	0.7476045	0.719	0.064	0	"Somitic mesoderm"	"Pcdh19"
"H2afy15"	0	0.6894757	0.983	0.711	0	"Somitic mesoderm"	"H2afy"
"Hoxb210"	0	0.6835618	0.871	0.287	0	"Somitic mesoderm"	"Hoxb2"
"Car32"	0	0.6581149	0.522	0.145	0	"Somitic mesoderm"	"Car3"
"Meis25"	0	0.643847	0.766	0.335	0	"Somitic mesoderm"	"Meis2"
"Prtg10"	0	0.6372255	0.935	0.555	0	"Somitic mesoderm"	"Prtg"
"Sp510"	0	0.5974881	0.759	0.281	0	"Somitic mesoderm"	"Sp5"
"Fn112"	0	0.5659803	0.87	0.439	0	"Somitic mesoderm"	"Fn1"
"Tmsb1011"	0	0.5579223	1	0.979	0	"Somitic mesoderm"	"Tmsb10"
"Ifitm29"	0	0.5564781	0.992	0.852	0	"Somitic mesoderm"	"Ifitm2"
"Hoxa16"	0	0.5453866	0.714	0.203	0	"Somitic mesoderm"	"Hoxa1"
"Mdk11"	0	0.5358276	1	0.969	0	"Somitic mesoderm"	"Mdk"
"Cited211"	0	0.5331862	0.967	0.803	0	"Somitic mesoderm"	"Cited2"
"Gal4"	0	0.5145177	0.253	0.05	0	"Somitic mesoderm"	"Gal"
"Frzb4"	0	0.5144654	0.697	0.24	0	"Somitic mesoderm"	"Frzb"
"Foxc22"	0	0.5038651	0.45	0.076	0	"Somitic mesoderm"	"Foxc2"
"Fam212a8"	0	0.5012464	0.752	0.227	0	"Somitic mesoderm"	"Fam212a"
"Gstm56"	0	0.4958478	0.881	0.622	0	"Somitic mesoderm"	"Gstm5"
"Nrarp1"	0	0.4833166	0.521	0.165	0	"Somitic mesoderm"	"Nrarp"
"Hoxb3os2"	0	0.4818046	0.57	0.136	0	"Somitic mesoderm"	"Hoxb3os"
"H2afv9"	0	0.4817869	0.997	0.957	0	"Somitic mesoderm"	"H2afv"
"Foxb15"	0	0.4789383	0.538	0.115	0	"Somitic mesoderm"	"Foxb1"
"Gnas9"	0	0.4713975	0.999	0.975	0	"Somitic mesoderm"	"Gnas"
"Smoc12"	0	0.4608386	0.539	0.117	0	"Somitic mesoderm"	"Smoc1"
"Hoxb93"	0	0.4522498	0.384	0.09	0	"Somitic mesoderm"	"Hoxb9"
"Hmgb39"	0	0.4453638	0.998	0.936	0	"Somitic mesoderm"	"Hmgb3"
"Ddit47"	0	0.4344527	0.523	0.212	0	"Somitic mesoderm"	"Ddit4"
"Tubb2b4"	0	0.4328613	0.69	0.306	0	"Somitic mesoderm"	"Tubb2b"
"Fabp74"	0	0.4226951	0.426	0.107	0	"Somitic mesoderm"	"Fabp7"
"Sms7"	0	0.4205409	0.972	0.798	0	"Somitic mesoderm"	"Sms"
"Aldoc"	0	0.4159456	0.427	0.095	0	"Somitic mesoderm"	"Aldoc"
"Maged26"	0	0.4155064	0.703	0.346	0	"Somitic mesoderm"	"Maged2"
"Nkd16"	0	0.4126795	0.719	0.334	0	"Somitic mesoderm"	"Nkd1"
"T10"	0	0.4125404	0.628	0.227	0	"Somitic mesoderm"	"T"
"Hoxb43"	0	0.4084991	0.539	0.114	0	"Somitic mesoderm"	"Hoxb4"
"Hoxb85"	0	0.4078057	0.456	0.127	0	"Somitic mesoderm"	"Hoxb8"
"Pcdh8"	0	0.3953148	0.213	0.038	0	"Somitic mesoderm"	"Pcdh8"
"Hmgn34"	0	0.3948467	0.717	0.38	0	"Somitic mesoderm"	"Hmgn3"
"Hoxd4"	0	0.3922913	0.468	0.058	0	"Somitic mesoderm"	"Hoxd4"
"Marcksl110"	0	0.3874588	1	0.982	0	"Somitic mesoderm"	"Marcksl1"
"2610528A11Rik1"	0	0.3832669	0.367	0.032	0	"Somitic mesoderm"	"2610528A11Rik"
"Rasgrp32"	0	0.3803362	0.452	0.095	0	"Somitic mesoderm"	"Rasgrp3"
"Ncam11"	0	0.3491326	0.506	0.135	0	"Somitic mesoderm"	"Ncam1"
"Notch11"	0	0.3490984	0.443	0.088	0	"Somitic mesoderm"	"Notch1"
"Hoxa21"	0	0.3403425	0.466	0.079	0	"Somitic mesoderm"	"Hoxa2"
"Lfng"	0	0.3331544	0.327	0.069	0	"Somitic mesoderm"	"Lfng"
"Skap23"	0	0.3315195	0.646	0.309	0	"Somitic mesoderm"	"Skap2"
"Epha4"	0	0.325896	0.477	0.131	0	"Somitic mesoderm"	"Epha4"
"Gbx24"	0	0.3223622	0.446	0.104	0	"Somitic mesoderm"	"Gbx2"
"Magi1"	0	0.3198681	0.398	0.075	0	"Somitic mesoderm"	"Magi1"
"Gfra31"	0	0.3058383	0.324	0.058	0	"Somitic mesoderm"	"Gfra3"
"Naaa2"	0	0.3055375	0.438	0.134	0	"Somitic mesoderm"	"Naaa"
"Fgf38"	0	0.3007616	0.568	0.204	0	"Somitic mesoderm"	"Fgf3"
"Alpl1"	0	0.2881385	0.47	0.179	0	"Somitic mesoderm"	"Alpl"
"Greb1l"	0	0.2829667	0.443	0.139	0	"Somitic mesoderm"	"Greb1l"
"Rftn1"	0	0.2805479	0.414	0.082	0	"Somitic mesoderm"	"Rftn1"
"Chst71"	0	0.2757114	0.399	0.087	0	"Somitic mesoderm"	"Chst7"
"Foxc1"	0	0.2704807	0.345	0.048	0	"Somitic mesoderm"	"Foxc1"
"Hoxa51"	0	0.2699269	0.337	0.069	0	"Somitic mesoderm"	"Hoxa5"
"Zfp5032"	0	0.269829	0.43	0.131	0	"Somitic mesoderm"	"Zfp503"
"Tmem132c"	0	0.2697957	0.374	0.056	0	"Somitic mesoderm"	"Tmem132c"
"Hotairm15"	0	0.2550162	0.462	0.151	0	"Somitic mesoderm"	"Hotairm1"
"Tenm4"	0	0.2546645	0.388	0.106	0	"Somitic mesoderm"	"Tenm4"
"Cdx45"	2.826012e-306	0.4941515	0.378	0.117	6.304551e-302	"Somitic mesoderm"	"Cdx4"
"Cadm16"	1.187615e-305	0.573755	0.839	0.572	2.649451e-301	"Somitic mesoderm"	"Cadm1"
"Pcolce21"	4.446375e-304	0.2568302	0.374	0.121	9.919419e-300	"Somitic mesoderm"	"Pcolce2"
"Pdcd56"	9.983669e-301	0.3878094	0.995	0.971	2.227257e-296	"Somitic mesoderm"	"Pdcd5"
"Nr6a14"	3.438091e-296	0.3774414	0.681	0.368	7.670038e-292	"Somitic mesoderm"	"Nr6a1"
"Sap305"	4.984133e-296	0.4431428	0.929	0.732	1.11191e-291	"Somitic mesoderm"	"Sap30"
"Tmsb4x8"	6.117604e-292	0.2513993	0.99	0.847	1.364776e-287	"Somitic mesoderm"	"Tmsb4x"
"Fscn111"	4.703709e-291	0.3773899	0.987	0.888	1.04935e-286	"Somitic mesoderm"	"Fscn1"
"Tspan67"	8.1078e-291	0.4076072	0.953	0.734	1.808769e-286	"Somitic mesoderm"	"Tspan6"
"Hmga213"	5.037258e-289	0.4004725	0.904	0.609	1.123762e-284	"Somitic mesoderm"	"Hmga2"
"Fgf172"	2.738231e-287	0.3033411	0.313	0.089	6.10872e-283	"Somitic mesoderm"	"Fgf17"
"Ripply2"	6.744818e-287	0.5654466	0.101	0.012	1.504701e-282	"Somitic mesoderm"	"Ripply2"
"Nnat9"	7.973856e-285	0.3504745	0.785	0.444	1.778888e-280	"Somitic mesoderm"	"Nnat"
"Mgst16"	3.195482e-278	0.3550937	0.495	0.207	7.1288e-274	"Somitic mesoderm"	"Mgst1"
"Ptk76"	1.327049e-275	0.3544968	0.64	0.337	2.960514e-271	"Somitic mesoderm"	"Ptk7"
"Fgf87"	2.083256e-275	0.2988126	0.689	0.313	4.647536e-271	"Somitic mesoderm"	"Fgf8"
"Crabp27"	9.138415e-275	0.2891901	0.785	0.415	2.038689e-270	"Somitic mesoderm"	"Crabp2"
"Cdh29"	3.796957e-273	0.2794685	0.555	0.245	8.470632e-269	"Somitic mesoderm"	"Cdh2"
"Rcn210"	3.513526e-262	0.3852832	0.928	0.73	7.838324e-258	"Somitic mesoderm"	"Rcn2"
"Tcf151"	3.856005e-257	0.759297	0.367	0.131	8.602362e-253	"Somitic mesoderm"	"Tcf15"
"H2afy29"	2.141369e-255	0.393577	0.914	0.637	4.777179e-251	"Somitic mesoderm"	"H2afy2"
"Hoxc84"	6.775817e-244	0.3517816	0.28	0.081	1.511617e-239	"Somitic mesoderm"	"Hoxc8"
"Ttc38"	2.628903e-242	0.354673	0.921	0.726	5.864819e-238	"Somitic mesoderm"	"Ttc3"
"Fam64a2"	1.37283e-228	0.3626463	0.76	0.513	3.062646e-224	"Somitic mesoderm"	"Fam64a"
"Fbln17"	1.333374e-225	0.3129592	0.755	0.475	2.974625e-221	"Somitic mesoderm"	"Fbln1"
"Snai16"	3.333225e-225	0.2629698	0.496	0.22	7.436092e-221	"Somitic mesoderm"	"Snai1"
"Epb41l32"	5.300599e-225	0.2638052	0.494	0.223	1.182511e-220	"Somitic mesoderm"	"Epb41l3"
"Fgfr12"	7.970296e-223	0.3635242	0.671	0.407	1.778093e-218	"Somitic mesoderm"	"Fgfr1"
"Lpar13"	8.899099e-222	0.2639851	0.512	0.234	1.9853e-217	"Somitic mesoderm"	"Lpar1"
"Pclaf11"	3.102041e-221	0.3502095	1	0.933	6.920344e-217	"Somitic mesoderm"	"Pclaf"
"Tpm412"	3.492398e-220	0.2994572	0.981	0.893	7.791191e-216	"Somitic mesoderm"	"Tpm4"
"Actb5"	4.854196e-219	0.2588016	1	0.997	1.082923e-214	"Somitic mesoderm"	"Actb"
"Grsf16"	5.094664e-213	0.5769443	0.776	0.605	1.136569e-208	"Somitic mesoderm"	"Grsf1"
"Fgf153"	2.412716e-204	0.2987372	0.467	0.212	5.382528e-200	"Somitic mesoderm"	"Fgf15"
"Tead26"	1.834653e-202	0.3151987	0.976	0.843	4.092928e-198	"Somitic mesoderm"	"Tead2"
"Fst8"	6.02648e-201	0.2983659	0.623	0.308	1.344447e-196	"Somitic mesoderm"	"Fst"
"Cdx210"	7.333784e-200	0.3441732	0.66	0.354	1.636094e-195	"Somitic mesoderm"	"Cdx2"
"Mogat25"	4.937056e-197	0.3076221	0.851	0.625	1.101408e-192	"Somitic mesoderm"	"Mogat2"
"Gja17"	1.355271e-188	0.3811473	0.828	0.606	3.023473e-184	"Somitic mesoderm"	"Gja1"
"Sfxn11"	6.629235e-188	0.3027657	0.964	0.906	1.478916e-183	"Somitic mesoderm"	"Sfxn1"
"Maged114"	6.401468e-180	0.3015925	0.917	0.754	1.428103e-175	"Somitic mesoderm"	"Maged1"
"Cald112"	6.103134e-176	0.2676441	0.764	0.516	1.361548e-171	"Somitic mesoderm"	"Cald1"
"Chd71"	9.917145e-174	0.2687193	0.651	0.413	2.212416e-169	"Somitic mesoderm"	"Chd7"
"Ypel36"	1.216755e-172	0.2860012	0.757	0.513	2.714458e-168	"Somitic mesoderm"	"Ypel3"
"Ccnd214"	1.904658e-172	0.2890258	0.911	0.628	4.249102e-168	"Somitic mesoderm"	"Ccnd2"
"Cfl27"	2.132758e-162	0.2899357	0.869	0.7	4.75797e-158	"Somitic mesoderm"	"Cfl2"
"Pcbp43"	3.447681e-162	0.2799723	0.95	0.828	7.691431e-158	"Somitic mesoderm"	"Pcbp4"
"Sh3bgrl4"	8.1498e-161	0.2537194	0.684	0.448	1.818139e-156	"Somitic mesoderm"	"Sh3bgrl"
"Dusp63"	4.36778e-150	0.279515	0.615	0.38	9.744081e-146	"Somitic mesoderm"	"Dusp6"
"Bub3"	8.63628e-143	0.2682287	0.964	0.946	1.926668e-138	"Somitic mesoderm"	"Bub3"
"Dkk13"	1.357543e-140	0.2863926	0.323	0.14	3.028542e-136	"Somitic mesoderm"	"Dkk1"
"Kif5b5"	2.231039e-139	0.2646679	0.959	0.889	4.977225e-135	"Somitic mesoderm"	"Kif5b"
"H1fx7"	1.242177e-137	0.2869349	0.81	0.612	2.771172e-133	"Somitic mesoderm"	"H1fx"
"Smc43"	5.17915e-128	0.2613594	0.949	0.893	1.155417e-123	"Somitic mesoderm"	"Smc4"
"Ube2c"	1.500398e-126	0.3741717	0.962	0.954	3.347239e-122	"Somitic mesoderm"	"Ube2c"
"mt-Nd21"	6.991271e-124	0.2637747	0.99	0.925	1.559683e-119	"Somitic mesoderm"	"mt-Nd2"
"H2afx3"	1.027252e-122	0.2528767	0.985	0.953	2.291697e-118	"Somitic mesoderm"	"H2afx"
"Ptms3"	6.669169e-122	0.2566125	0.765	0.608	1.487825e-117	"Somitic mesoderm"	"Ptms"
"mt-Cytb4"	1.160397e-110	0.2538097	1	0.971	2.58873e-106	"Somitic mesoderm"	"mt-Cytb"
"Ppp1r1a4"	1.66974e-71	0.327133	0.489	0.341	3.725023e-67	"Somitic mesoderm"	"Ppp1r1a"
"H1f04"	4.967896e-67	0.261111	0.869	0.793	1.108288e-62	"Somitic mesoderm"	"H1f0"
"Mesp21"	2.896429e-44	0.2722058	0.104	0.043	6.461644e-40	"Somitic mesoderm"	"Mesp2"
"Crabp28"	0	2.126619	0.998	0.413	0	"Spinal cord"	"Crabp2"
"Ptn5"	0	1.356049	0.982	0.317	0	"Spinal cord"	"Ptn"
"Ccnd215"	0	1.279921	0.974	0.628	0	"Spinal cord"	"Ccnd2"
"Crabp17"	0	1.182003	0.879	0.412	0	"Spinal cord"	"Crabp1"
"Hoxa17"	0	0.99524	0.743	0.204	0	"Spinal cord"	"Hoxa1"
"1700011H14Rik2"	0	0.9366846	0.694	0.064	0	"Spinal cord"	"1700011H14Rik"
"Hes34"	0	0.8523418	0.671	0.087	0	"Spinal cord"	"Hes3"
"Mdk12"	0	0.838978	1	0.969	0	"Spinal cord"	"Mdk"
"Slc2a17"	0	0.8113961	0.997	0.869	0	"Spinal cord"	"Slc2a1"
"Fgfbp33"	0	0.7694996	0.617	0.075	0	"Spinal cord"	"Fgfbp3"
"Map1b6"	0	0.7098997	0.88	0.354	0	"Spinal cord"	"Map1b"
"Sfrp17"	0	0.7056061	0.806	0.259	0	"Spinal cord"	"Sfrp1"
"Pax6"	0	0.6543441	0.589	0.031	0	"Spinal cord"	"Pax6"
"Tubb2b5"	0	0.6328562	0.79	0.306	0	"Spinal cord"	"Tubb2b"
"Meis26"	0	0.6220565	0.861	0.334	0	"Spinal cord"	"Meis2"
"Fabp56"	0	0.5802743	0.995	0.872	0	"Spinal cord"	"Fabp5"
"Hoxd41"	0	0.5600798	0.488	0.059	0	"Spinal cord"	"Hoxd4"
"Hes51"	0	0.5463468	0.384	0.045	0	"Spinal cord"	"Hes5"
"Sfrp23"	0	0.5364307	0.648	0.206	0	"Spinal cord"	"Sfrp2"
"Spsb41"	0	0.5185608	0.651	0.159	0	"Spinal cord"	"Spsb4"
"Gja18"	0	0.5097775	0.894	0.606	0	"Spinal cord"	"Gja1"
"H2afy16"	0	0.5048152	0.959	0.712	0	"Spinal cord"	"H2afy"
"Akr1b36"	0	0.5024215	0.992	0.924	0	"Spinal cord"	"Akr1b3"
"Hotairm16"	0	0.4998519	0.638	0.149	0	"Spinal cord"	"Hotairm1"
"Prtg11"	0	0.4606295	0.924	0.556	0	"Spinal cord"	"Prtg"
"Metrn2"	0	0.4367725	0.661	0.228	0	"Spinal cord"	"Metrn"
"Sfrp52"	0	0.4358864	0.468	0.053	0	"Spinal cord"	"Sfrp5"
"Cntfr2"	0	0.4331719	0.633	0.156	0	"Spinal cord"	"Cntfr"
"Foxb16"	0	0.4305198	0.571	0.115	0	"Spinal cord"	"Foxb1"
"Sox23"	0	0.4102737	0.678	0.257	0	"Spinal cord"	"Sox2"
"Map2k6"	0	0.3944549	0.602	0.199	0	"Spinal cord"	"Map2k6"
"Hoxb211"	0	0.3687074	0.717	0.29	0	"Spinal cord"	"Hoxb2"
"Meis3"	0	0.3458041	0.589	0.218	0	"Spinal cord"	"Meis3"
"Mir124-2hg"	0	0.3196743	0.364	0.023	0	"Spinal cord"	"Mir124-2hg"
"Msx31"	0	0.3018015	0.184	0.014	0	"Spinal cord"	"Msx3"
"Igdcc31"	0	0.2882414	0.474	0.157	0	"Spinal cord"	"Igdcc3"
"Apba2"	0	0.2853803	0.393	0.064	0	"Spinal cord"	"Apba2"
"Rgma"	0	0.2690682	0.445	0.139	0	"Spinal cord"	"Rgma"
"Zfp7033"	0	0.2675492	0.409	0.106	0	"Spinal cord"	"Zfp703"
"Cpn13"	0	0.2656513	0.431	0.092	0	"Spinal cord"	"Cpn1"
"Gapdh1"	0	0.2648386	1	1	0	"Spinal cord"	"Gapdh"
"Car33"	0	0.2644096	0.488	0.146	0	"Spinal cord"	"Car3"
"Rprm1"	0	0.2574142	0.347	0.049	0	"Spinal cord"	"Rprm"
"Tshz1"	0	0.2553947	0.382	0.069	0	"Spinal cord"	"Tshz1"
"Fhl12"	2.897744e-292	0.4248182	0.79	0.458	6.464577e-288	"Spinal cord"	"Fhl1"
"Ncam12"	2.339854e-291	0.2819833	0.424	0.137	5.21998e-287	"Spinal cord"	"Ncam1"
"H2afy210"	2.442983e-279	0.4050168	0.942	0.637	5.450051e-275	"Spinal cord"	"H2afy2"
"Cdca76"	1.516582e-272	0.4298007	0.925	0.721	3.383343e-268	"Spinal cord"	"Cdca7"
"Ndn9"	5.3574e-268	0.3916387	0.71	0.368	1.195182e-263	"Spinal cord"	"Ndn"
"Cd24a11"	1.655286e-255	0.3969892	0.998	0.846	3.692777e-251	"Spinal cord"	"Cd24a"
"Fam64a3"	7.625981e-252	0.4184634	0.789	0.513	1.70128e-247	"Spinal cord"	"Fam64a"
"Zeb2"	5.673927e-245	0.2652787	0.471	0.185	1.265796e-240	"Spinal cord"	"Zeb2"
"Skap24"	5.401155e-240	0.3252504	0.62	0.31	1.204944e-235	"Spinal cord"	"Skap2"
"Rbp18"	3.220714e-235	0.4363886	0.908	0.651	7.18509e-231	"Spinal cord"	"Rbp1"
"Cfl28"	1.213917e-230	0.3619389	0.907	0.7	2.708128e-226	"Spinal cord"	"Cfl2"
"Hmgb310"	1.329331e-228	0.3406416	0.997	0.936	2.965604e-224	"Spinal cord"	"Hmgb3"
"H2afv10"	4.807739e-209	0.3217787	0.998	0.957	1.072558e-204	"Spinal cord"	"H2afv"
"Zfp4222"	1.106588e-208	0.3786069	0.807	0.56	2.468688e-204	"Spinal cord"	"Zfp422"
"Msmo12"	2.914369e-207	0.4492999	0.648	0.372	6.501666e-203	"Spinal cord"	"Msmo1"
"Tspan135"	3.533665e-207	0.2967	0.87	0.581	7.883253e-203	"Spinal cord"	"Tspan13"
"Tmem471"	9.499535e-207	0.2802822	0.573	0.278	2.119251e-202	"Spinal cord"	"Tmem47"
"Nkx2-91"	4.271171e-205	0.2584032	0.104	0.015	9.528555e-201	"Spinal cord"	"Nkx2-9"
"Sap306"	1.105469e-204	0.3525407	0.925	0.733	2.46619e-200	"Spinal cord"	"Sap30"
"Pclaf12"	4.726383e-202	0.3492618	0.999	0.933	1.054409e-197	"Spinal cord"	"Pclaf"
"Cdh210"	5.972108e-202	0.2645189	0.537	0.246	1.332318e-197	"Spinal cord"	"Cdh2"
"Pls34"	5.354636e-194	0.3230838	0.727	0.443	1.194566e-189	"Spinal cord"	"Pls3"
"Sox115"	2.703295e-192	0.3315938	0.791	0.493	6.03078e-188	"Spinal cord"	"Sox11"
"Marcksl111"	3.344568e-188	0.2809032	1	0.982	7.461397e-184	"Spinal cord"	"Marcksl1"
"Idi12"	2.961768e-185	0.399886	0.729	0.476	6.607409e-181	"Spinal cord"	"Idi1"
"Pfn23"	2.778717e-179	0.279277	0.621	0.344	6.19904e-175	"Spinal cord"	"Pfn2"
"Idh23"	8.253711e-179	0.3377611	0.919	0.784	1.84132e-174	"Spinal cord"	"Idh2"
"Fbln18"	1.588964e-162	0.2673146	0.746	0.476	3.54482e-158	"Spinal cord"	"Fbln1"
"Tuba1a10"	5.98585e-162	0.2922004	0.997	0.851	1.335383e-157	"Spinal cord"	"Tuba1a"
"Cadm17"	1.915747e-161	0.2872707	0.818	0.573	4.273841e-157	"Spinal cord"	"Cadm1"
"Fxyd65"	4.306666e-157	0.2540589	0.681	0.406	9.607741e-153	"Spinal cord"	"Fxyd6"
"Nmral13"	9.090219e-152	0.3070608	0.787	0.578	2.027937e-147	"Spinal cord"	"Nmral1"
"Lpar42"	1.060502e-148	0.2509235	0.497	0.252	2.365874e-144	"Spinal cord"	"Lpar4"
"Chd72"	8.67661e-145	0.2542682	0.658	0.414	1.935665e-140	"Spinal cord"	"Chd7"
"Fgf154"	4.698186e-144	0.3436451	0.443	0.213	1.048118e-139	"Spinal cord"	"Fgf15"
"Rrm21"	3.355961e-136	0.2992035	0.996	0.958	7.486814e-132	"Spinal cord"	"Rrm2"
"Stmn26"	2.367985e-135	0.3157578	0.59	0.345	5.282738e-131	"Spinal cord"	"Stmn2"
"Irx35"	6.704437e-129	0.2598338	0.503	0.267	1.495693e-124	"Spinal cord"	"Irx3"
"Igfbp29"	5.296552e-125	0.2605641	0.914	0.632	1.181608e-120	"Spinal cord"	"Igfbp2"
